"","l1","l2","Test.CC","CC.Pred..Error"
"1",0.1,0.05,1.65338,0.216476650255748
"2",0.15,0.05,1.62599,0.220754820478683
"3",0.2,0.05,1.58771,0.22308051963936
"4",0.25,0.05,1.54139,0.273157743574043
"5",0.3,0.05,1.47996,0.344676950450805
"6",0.1,0.1,1.65317,0.222049503866591
"7",0.15,0.1,1.62537,0.219456704621531
"8",0.2,0.1,1.59412333333333,0.222406859209068
"9",0.25,0.1,1.54523333333333,0.272645613548827
"10",0.3,0.1,1.49715,0.324518233716681
"11",0.1,0.15,1.60925666666667,0.247609615342284
"12",0.15,0.15,1.58293333333333,0.298974395102314
"13",0.2,0.15,1.52903666666667,0.365760357842693
"14",0.25,0.15,1.50075666666667,0.404498678947705
"15",0.3,0.15,1.45350666666667,0.458618925432688
"16",0.15,0.2,1.53418,0.41731063673355
"17",0.2,0.2,1.48854,0.483292173828528
"18",0.25,0.2,1.44860666666667,0.526283585541951
"19",0.3,0.2,1.40092,0.583417805607885
"20",0.15,0.25,1.46596666666667,0.556310429720566
"21",0.2,0.25,1.4352,0.592811968373705
"22",0.25,0.25,1.40961666666667,0.621464048903725
"23",0.3,0.25,1.34944,0.684077462216349
"24",0.2,0.3,1.38982333333333,0.679069461444281
"25",0.25,0.3,1.35542,0.717905748127142
"26",0.3,0.3,1.30806333333333,0.766212669763598
